Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
5174471082,2021-07-07 04:49:51,2021-06-29 13:40:00,,Texas,972,Other,Y
862083116688,2021-07-07 04:50:35,2021-06-29 11:10:00,,Texas,972,Other,Y
4057208413,2021-07-07 04:50:41,2021-07-02 09:58:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
2129635557,2021-07-07 04:51:20,2021-06-29 09:30:00,,Texas,972,Other,Y
4057787262,2021-07-07 04:51:44,2021-07-01 14:38:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
5174471082,2021-07-07 04:51:57,2021-06-29 09:22:00,,Texas,972,Other,Y
4058038020,2021-07-07 04:52:24,2021-07-01 13:34:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
9724763184,2021-07-07 04:53:17,2021-06-23 20:42:00,,Texas,972,Other,Y
5802000449,2021-07-07 04:53:17,2021-07-01 11:56:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
6465849688,2021-07-07 04:54:00,2021-06-23 20:13:00,,Texas,972,Other,Y
4052670521,2021-07-07 04:54:02,2021-07-01 08:48:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
4052670521,2021-07-07 04:54:48,2021-07-01 08:48:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
7029319566,2021-07-07 04:54:53,2021-06-23 14:09:00,,Texas,972,Other,Y
7252240015,2021-07-07 04:55:25,2021-06-23 14:04:00,,Texas,972,Other,Y
9728965611,2021-07-07 04:56:00,2021-06-23 11:18:00,,Texas,972,Other,Y
7152306686,2021-07-07 04:56:33,2021-06-21 11:38:00,,Texas,972,Other,Y
4057207410,2021-07-07 04:56:35,2021-06-29 16:26:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
4084139362,2021-07-07 04:56:48,2021-07-06 08:34:00,San Jose,California,408,Dropped call or no message,N
8886386241,2021-07-07 04:57:16,2021-06-29 16:10:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
4752787224,2021-07-07 04:57:35,2021-07-06 09:04:00,San Jose,California,408,Dropped call or no message,N
4057209082,2021-07-07 04:58:05,2021-06-29 10:45:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
4087985228,2021-07-07 04:58:20,2021-07-06 13:13:00,San Jose,California,408,Dropped call or no message,N
9724764662,2021-07-07 04:58:24,2021-06-11 11:31:00,,Texas,972,Warranties  & protection plans,Y
2036163930,2021-07-07 04:58:49,2021-06-29 09:07:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
4086592958,2021-07-07 04:59:09,2021-07-06 14:04:00,San Jose,California,408,Dropped call or no message,N
6464402586,2021-07-07 04:59:15,2021-06-07 11:35:00,,Texas,972,Other,Y
3144704753,2021-07-07 04:59:39,2021-06-27 16:41:00,Oklahoma City,Oklahoma,405,Dropped call or no message,Y
9724764462,2021-07-07 04:59:59,2021-06-07 11:03:00,,Texas,972,Warranties  & protection plans,Y
6785352308,2021-07-07 05:00:05,2021-07-06 12:57:00,,Georgia,678,Medical  & prescriptions,N
